Commit,Contract,Method,Input,Tgas burned,Avg Tgas used,Variance,Min,Max
07f5906,bench,cpu_ram_soak_test,"{""loop_limit"":100}",2,106.7,0.22105263157894725,106,107
07f5906,bench,cpu_ram_soak_test,"{""loop_limit"":500}",2,126.3,1.8,124,129
07f5906,bench,cpu_ram_soak_test,"{""loop_limit"":1000}",2,150.95,6.681578947368418,147,157
07f5906,bench,cpu_ram_soak_test,"{""loop_limit"":1500}",2,175.7,17.06315789473685,169,185
07f5906,bench,cpu_ram_soak_test,"{""loop_limit"":2000}",2,200.2,30.273684210526312,191,213
07f5906,bench,cpu_ram_soak_test,"{""loop_limit"":3000}",2,249.6,65.30526315789473,236,268
