Commit,Contract,Method,Input,Tgas burned,Avg Tgas used,Variance,Min,Max
e51cf49,bench,cpu_ram_soak_test,"{""loop_limit"":100}",2,106.65,0.2394736842105263,106,107
e51cf49,bench,cpu_ram_soak_test,"{""loop_limit"":500}",2,126.0,2.4210526315789473,123,129
e51cf49,bench,cpu_ram_soak_test,"{""loop_limit"":1000}",2,150.25,11.355263157894736,144,157
e51cf49,bench,cpu_ram_soak_test,"{""loop_limit"":1500}",2,174.45,23.31315789473684,165,184
e51cf49,bench,cpu_ram_soak_test,"{""loop_limit"":2000}",2,198.75,40.61842105263158,186,211
e51cf49,bench,cpu_ram_soak_test,"{""loop_limit"":3000}",2,247.15,92.1342105263158,228,266
