Commit,Contract,Method,Input,Tgas burned,Avg Tgas used,Variance,Min,Max
8a9697c,bench,cpu_ram_soak_test,"{""loop_limit"":100}",2,106.75,0.19736842105263158,106,107
8a9697c,bench,cpu_ram_soak_test,"{""loop_limit"":500}",2,127.05,2.3657894736842104,125,130
8a9697c,bench,cpu_ram_soak_test,"{""loop_limit"":1000}",2,152.25,7.776315789473684,148,157
8a9697c,bench,cpu_ram_soak_test,"{""loop_limit"":1500}",2,177.45,17.62894736842105,171,185
8a9697c,bench,cpu_ram_soak_test,"{""loop_limit"":2000}",2,202.8,31.22105263157894,194,213
8a9697c,bench,cpu_ram_soak_test,"{""loop_limit"":3000}",2,253.2,72.37894736842105,240,269
