Commit,Contract,Method,Input,Tgas burned,Avg Tgas used,Variance,Min,Max
b1c8e70,bench,cpu_ram_soak_test,"{""loop_limit"":100}",2,105.0,0.0,105,105
b1c8e70,bench,cpu_ram_soak_test,"{""loop_limit"":500}",2,119.0,0.0,119,119
b1c8e70,bench,cpu_ram_soak_test,"{""loop_limit"":1000}",2,136.0,0.0,136,136
b1c8e70,bench,cpu_ram_soak_test,"{""loop_limit"":1500}",2,153.0,0.0,153,153
b1c8e70,bench,cpu_ram_soak_test,"{""loop_limit"":2000}",2,170.0,0.0,170,170
b1c8e70,bench,cpu_ram_soak_test,"{""loop_limit"":3000}",2,204.0,0.0,204,204
