Commit,Contract,Method,Input,Tgas burned,Avg Tgas used,Variance,Min,Max
78ef4cd,bench,cpu_ram_soak_test,"{""loop_limit"":100}",2,106.8,0.16842105263157886,106,107
78ef4cd,bench,cpu_ram_soak_test,"{""loop_limit"":500}",2,126.55,1.7342105263157892,124,128
78ef4cd,bench,cpu_ram_soak_test,"{""loop_limit"":1000}",2,151.35,6.2394736842105285,147,155
78ef4cd,bench,cpu_ram_soak_test,"{""loop_limit"":1500}",2,176.05,13.102631578947367,170,181
78ef4cd,bench,cpu_ram_soak_test,"{""loop_limit"":2000}",2,200.85,24.976315789473674,192,208
78ef4cd,bench,cpu_ram_soak_test,"{""loop_limit"":3000}",2,250.25,53.88157894736842,237,261
